#,Name,Class,Type,Abs. Mag.,T eff.,logT,Y-Type
1,The Sun,G,Main Sequence,4.83,5778,3.762,1
2,10 Lacertae,O,Main Sequence,-4.17,34550,4.538,1
3,Alkaid,B,Main Sequence,-0.67,15540,4.191,1
4,Sirius A,A,Main Sequence,1.43,9845,3.993,1
5,Sirius B,,White Dwarf,11.18,25000,4.398,2
6,Van Maanen 2,,White Dwarf,14.21,6130,3.787,2
7,WD 0343+247,,White Dwarf,16.8,4197,3.623,2
8,Alnitak Aa,O,Blue Supergiant,-6,29500,4.47,3
9,Aldebaran,K,Red Giant (Branch),-6.041,3900,3.591,3
10,Antares,M,Red supergiant,-5.28,3660,3.563,3
11,78 Ursae Majoris A,F,Main Sequence,2.84,6908,3.839,1
12,61 Ursae Majoris,G,Main Sequence,5.53,5488,3.738,1
13,Epsilon Eridani,K,Main Sequence,6.19,5049,3.703,1
14,Barnard's Star,M,Main Sequence,13.21,3195,3.504,1
15,Procyon B,,White Dwarf,13,7740,3.889,2
16,LP 658-2,,White Dwarf,15.44,4270,3.63,2
17,IK Pegasi,,White Dwarf,7.04,35500,4.55,2
18,Pollux,K,Red Giant (Clump),1.08,4586,3.661,3
19,Rho Persei,M,Red Giant (Asym.),-1.7,3479,3.541,3
20,Arcturus,K,Red supergiant,-0.3,4286,3.632,3
